number,title,country
395048,UMZN - Global IP Networks INC,US
48622,"AITOOD-AS Montana, Bulgaria",BG
58079,SATCOM-TROYAN-NET,BG
58078,MAIRON-AS Str. Drumul de Centura Nr. 59,RO
46861,SOFTVOYAGE-NET - Softvoyage Inc,CA
46860,"DASIANET - Dasia.Net, LLC",US
46863,SCOTT-COUNTY-SCHOOLS-NETWORK - SCSN,US
46862,ASC-ASN - ASC,US
46865,FINANALYTICA - FinAnalytica,US
46864,"WORKD-IT - Workday, Inc.",US
46867,AUDEAMUS - Sebastian,US
46866,OREGONFAST - TECHNOLOGY SERVICES INC,US
54543,EPICUP-COM - Epic Up.com,US
31677,OBDURO-AS,SE
48627,SUNGARD-ASN,IL
58707,SUPPORTGROUP-AS Support Group Services Pty Ltd,AU
48626,QUARTO-AS,PL
48629,ICLIK,LB
48628,WS-MTK-AS,RU
49442,SONET-AS,UZ
394724,"TRAVELPORT - Travelport Operations, Inc.",US
54542,"K-DATA01 - K-Data Systems, LLC",US
58706,XAVIER-AS Xavier School,PH
55677,HTS-AS-ID PT. Hawk Teknologi Solusi,ID
62364,PLYMOUTH-CITY-COUNCIL,GB
64776,-Private Use AS-,ZZ
49443,SISTEME,MD
36421,AS-TRENDMICRO-COM - TREND MICRO INCORPORATED,US
43056,I-SHACK,LB
46549,GVO - Global Virtual Opportunities,US
13058,INTERDOTNET-DE-AS,DE
13059,EXTREME-SOLUTIONS,RO
41398,CDP-TRANSITPOLAND-AS,PL
51825,TELZAR-ASN,IL
6264,AS-ALTO-EXT2 - ALTO,US
13052,"BROADNET Forskningsparken, Oslo",NO
13053,"ASSOFTTRONIK Kiev,Ukraine",UA
13056,RT-TMB-AS Tambov branch,RU
13057,Esplanaden 50,DK
13054,"FREINET Freiburg, Germany",DE
13055,CSVLG-AS,RU
54170,"NETACTUATE - NetActuate, Inc",US
54171,-Reserved AS-,ZZ
395238,BRAZOSPORTISD-01 - Brazosport Independent School District,US
395239,"CREDITSIGHTS-NJ - CreditSights, Inc",US
